,slang,formal
562,krn,karena
563,kt,kita
564,ktauan,ketahuan
565,ktmu,ketemu
566,ktny,katanya
567,ktr,kantor
568,kudu,harus
569,kuper,kurang pergaulan
570,kuq,kok
571,kw,imitasi
572,ky,seperti
573,kyk,seperti
574,kykny,kayanya
575,la,lah
576,laka,kecelakaan
577,lam,salam
578,lambreta,lambat
579,lamp,lampiran
580,lansia,lanjut usia
581,lanud,landasan udara
582,lapas,lembaga pemasyarakatan
583,latgab,latihan gabungan
584,lbur,libur
585,lebay,berlebihan
586,leh,boleh
587,leh,boleh
588,lekong,laki-laki
589,lelet,lambat
590,lemot,lambat berfikir
591,lemot,lemah otak
592,lg,lagi
593,lgi,lagi
594,lgkp,lengkap
595,lgsg,langsung
596,lht,lihat
597,liat,lihat
598,linmas,perlindungan masyarakat
599,litbang,penelitian dan pengembangan
600,lmyan,lumayan
601,lmyn,lumayan
602,lngkp,lengkap
603,lo,kamu
604,loch,loh
605,loe,kamu
606,lol,tertawa
607,lola,lambat berfikir
608,lom,belum
609,louph,cinta
610,loupz,cinta
611,low,kalau
612,lowh,kamu
613,lp,lupa
614,lu,kamu
615,luber,"langsung, umum, bebas, dan rahasia"
616,luchu,lucu
617,luchuw,lucu
618,luff,cinta
619,lum,belum
620,luph,cinta
621,luthu,lucu
622,lw,kamu
623,lwn,lawan
624,lwt,lewat
625,maacih,terima kasih
626,maaciw,terima kasih
627,mabal,bolos
628,mabes,markas besar
629,macem,macam
630,macem-macem,macam-macam
631,macih,masih
632,madesu,masa depan suram
633,maem,makan
634,maen,main
635,magabut,makan gaji buta
636,mahatma,maju sehat bersama
637,maho,homo
638,mak,ibu
639,mak jang,kaget
640,makasih,terima kasih
641,maksain,memaksa
642,malah,bahkan
643,malem,malam
644,malu2in,memalukan
645,mam,makan
646,mamz,makan
647,maneh,kamu
648,manies,manis
649,maniez,manis
650,mantep,mantap
651,mao,mau
652,markus,makelar kasus
653,masukin,masukkan
654,mba,mbak
655,melu,ikut
656,mending,lebih baik
657,mepet,dekat sekali
658,mgkn,mungkin
659,mgu,minggu
660,mhn,mohon
661,migas,minyak dan gas bumi
662,miker,minuman keras
663,mikol,minuman beralkohol
664,milis,mailing list
665,miras,minuman keras
666,mksd,maksud
667,mlah,malah
668,mls,malas
669,mngkn,mungkin
670,mnt,minta
671,mo,mau
672,moge,motor gede
673,mokad,mati
674,mokat,mati
675,moso,masa
676,mosok,masa
677,mpe,sampai
678,msh,masih
679,msk,masuk
680,mskpn,meskipun
681,mslh,masalah
682,msng2,masing-masing
683,mt,makan teman
684,muahal,mahal
685,mubes,musyawarah besar
686,muker,musyawarah kerja
687,mulu,melulu
688,mumet,pusing
689,mumpung,selagi
690,muna,munafik
691,munas,musyawarah nasional
692,munaslub,musyawarah nasional luar biasa
693,muntaber,muntah dan berak
694,musda,musyawarah daerah
695,musti,mesti
696,muup,maaf
697,muupz,maaf
698,muuv,maaf
699,mw,mau
700,mw,now watching
701,n,dan
702,nal,kenal
703,nanam,menanam
704,nangis,menangis
705,nanya,bertanya
706,naon,apa
707,napa,kenapa
708,napa,kenapa
709,napi,narapidana
710,napol,narapidana politik
711,napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
712,naq,anak
713,narkoba,"narkotika, psikotropika, dan obat terlarang"
714,narsis,bangga pada diri sendiri
715,nasgor,nasi goreng
716,nax,anak
717,nda,tidak
718,ndak,tidak
719,ndiri,sendiri
720,ndut,gendut
721,ne,ini
722,nekolim,neokolonialisme
723,nekolin,neokolonialisme
724,nelfon,menelepon
725,nembak,menyatakan cinta
726,ngabis2in,menghabiskan
727,ngabuburit,menunggu berbuka puasa
728,ngakak,tertawa
729,ngaku,mengaku
730,ngambek,marah
731,ngambil,mengambil
732,ngampus,pergi ke kampus
733,nganggur,tidak punya pekerjaan
734,ngantri,mengantri
735,ngapah,kenapa
736,ngapain,sedang apa
737,ngaret,terlambat
738,ngaruh,berpengaruh
739,ngasih,memberikan
740,ngawur,berbicara sembarangan
741,ngebandel,berbuat bandel
742,ngeceng,kumpul bareng-bareng
743,ngegosip,bergosip
744,ngeh,sadar
745,ngeklaim,mengklaim
746,ngekos,tinggal di kos
747,ngeksis,menjadi eksis
748,ngelamar,melamar
749,ngeles,berkilah
750,ngeliat,melihat
751,ngelidur,menggigau
752,ngemeng,bicara terus-terusan
753,ngerampok,merampok
754,ngerti,mengerti
755,ngga,tidak
756,nggak,tidak
757,ngibul,berbohong
758,ngikut,ikut
759,ngiler,mau
760,nginep,menginap
761,ngiri,iri
762,ngisi,mengisi
763,ngisiin,mengisikan
764,ngmg,bicara
765,ngmng,bicara
766,ngocol,lucu
767,ngomong,bicara
768,ngomongin,membicarakan
769,ngubek2,mencari-cari
770,ngumpul,berkumpul
771,ngurus,mengurus
772,ni,ini
773,nice,bagus
774,nie,ini
775,niech,nih
776,nih,ini
777,nimbrung,ikut serta
778,niyh,nih
779,nkah,nikah
780,nmr,nomor
781,nnti,nanti
782,nntn,nonton
783,no,nomor
784,nobar,nonton bareng
785,nongkrong,kumpul-kumpul
786,np,now playing
787,nrp,narapidana
788,ntar,nanti
789,ntar,sebentar
790,ntn,nonton
791,nuhun,terima kasih
792,numpuk,bertumpuk
793,nunggu,menunggu
794,nutupin,menutupi
795,nyampah,membuat sampah
796,nyasar,tersesat
797,nyari,mencari
798,nyariin,mencari
799,nyekar,menyekar
800,nyiapin,mempersiapkan
801,nyicil,mencicil
802,nyiram,menyiram
803,nyoblos,mencoblos
804,nyok,ayo
805,nyokap,ibu
806,o/,oleh
807,ogah,tidak mau
808,ok,ok
809,okt,oktober
810,ol,online
811,omdo,omong doang
812,ongkir,ongkos kirim
813,oon,bodoh
814,oot,out of topic
815,org,orang
816,org2,orang-orang
817,orkes,olahraga dan kesehatan
818,ortu,orang tua
819,ospek,orientasi studi dan pengenalan kampus
820,otda,otonomi daerah
821,otre,ok
822,otw,"on the way, sedang di jalan"
823,pa,apa
824,pacal,pacar
825,pahe,paket hemat
826,pake,pakai
827,pakek,pakai
828,pala,kepala
829,panja,panitia kerja
830,pansus,panitia khusus
831,pantura,pantai utara
832,parpol,partai politik
833,pas2an,pas-pasan
834,pasutri,pasangan suami istri
835,patas,cepat dan terbatas
836,pd,pada
837,pdhl,padahal
838,pede,percaya diri
839,pelatda,pemusatan latihan daerah
840,pelatnas,pemusatan latihan nasional
841,pembokat,pembantu
842,pemda,pemerintah daerah
843,pemilu,pemilihan umum
844,pemkot,pemerintah kota
845,pemprov,pemerintah provinsi
846,pemred,pemimpin redaksi
847,pengen,ingin
848,penjas,pendidikan jasmani
849,penmas,pendidikan masyarakat
850,perda,peraturan daerah
851,perek,wanita tuna susila
852,perhatiin,perhatikan
853,pertamax,pertama
854,pesenan,pesanan
855,pesenin,pesankan
856,pgang,pegang
857,pgi,pergi
858,pi,tapi
859,pijetin,pijitkan
860,pilkada,pemilihan kepala daerah
861,pimpro,pemimpin proyek
862,pisan,sangat
863,pisgor,pisang goreng
864,pk,penjahat kelamin
865,pke,pakai
866,plg,paling
867,pm,private message
868,pmrnth,pemerintah
869,pny,punya
870,polantas,polisi lalu lintas
871,polwan,polisi wanita
872,ponpes,pondok pesantren
873,ponsel,telepon seluler
874,pp,pulang pergi
875,ppa,apa
876,prg,pergi
877,prikitiw,cie
878,priksa,periksa
879,prnh,pernah
880,pro,profesional
881,psen,pesan
882,psn,pesan
883,pst,pasti
884,psti,pasti
885,pswt,pesawat
886,puanas,panas
887,pw,posisi nyaman
888,qmo,kamu
889,qmu,kamu
890,qt,kita
891,rakor,rapat koordinasi
892,rame,ramai
893,ranmor,kendaraan bermotor
894,raskin,rakyat miskin
895,re,reply
896,red,redaksi
897,ref,referensi
898,reg,register
899,rehab,rehabilitasi
900,rejeki,rezeki
901,rempong,sulit
902,renstra,rencana strategis
903,repp,balas
904,reskrim,reserse kriminal
905,krim,kirim
906,restik,reserse narkotika
907,rhs,Rahasia
908,rhs,rahasia
909,rmbt,rambut
910,rmh,rumah
911,rofl,rolling on the floor laughing
912,ru,baru
913,rudal,peluru kendali
914,ruko,rumah toko
915,rusun,rumah susun
916,rusunawa,rumah susun sewa
917,rutan,rumah tahanan
918,ruz,terus
919,s4,sempat
920,saia,saya
921,saiank,sayang
922,salting,salah tingkah
923,saltum,salah kostum
924,sampe,sampai
925,sampeyan,anda
926,samsek,sama sekali
927,sapa,siapa
928,sapose,siapa
929,satkorlak,satuan koordinator pelaksana
930,satpam,satuan pengamanan
931,say,sayang
932,sbb,sebagai berikut
933,sbg,sebagai
934,sbh,sebuah
935,sblm,sebelum
936,sbnrny,sebenarnya
937,scara,secara
938,scr,secara
939,sdg,sedang
940,sdgkn,sedangkan
941,sdh,sudah
942,sdkt,sedikit
943,sdngkn,sedangkan
944,se7,setuju
945,seabrek,banyak
946,sebelas dua belas,mirip
947,sekjen,sekretaris jenderal
948,sembako,sembilan bahan pokok
949,sempak,celana dalam
950,sempet,sempat
951,sempet2nya,sempat-sempatnya
952,sendratari,seni drama tari
953,sertijab,serah terima jabatan
954,sgt,sangat
955,sgtunya,segitunya
956,shg,sehingga
957,sidak,inspeksi mendadak
958,siech,sih
959,sieyh,sih
960,sikon,situasi dan kondisi
961,simpedes,simpanan pedesaan
962,sinetron,sinema elektronik
963,sip,ok
964,siramin,siramkan
965,sis,kakak perempuan
966,sj,saja
967,skali,sekali
968,skalian,sekalian
969,skl,sekali
970,sklh,sekolah
971,skrg,sekarang
972,skt,sakit
973,skul,sekolah
974,slesai,selesai
975,slh,salah
976,sll,selalu
977,slm,salam
978,slma,selama
979,slmt,selamat
980,slsai,selesai
981,slt,sulit
982,smpt,sempat
983,smua,semua
984,smw,semua
985,smwny,semuanya
986,sndiri,sendiri
987,sng,senang
988,sni,sini
989,soljum,sholat jumat
990,somse,sombong sekali
991,songong,sombong
992,sorry,maaf
993,sory,maaf
994,sosbud,sosial-budaya
995,sosek,sosial-ekonomi
996,sospol,sosial-politik
997,sotoy,sok tahu
998,sowry,maaf
999,spa,siapa
1000,spd,sepeda
1001,sppa,siapa
1002,sprti,seperti
1003,spt,seperti
1004,spy,supaya
1005,srtfkt,sertifikat
1006,stelah,setelah
1007,stiap,setiap
1008,stiap,setiap
1009,stlh,setelah
1010,subbag,subbagian
1011,suk,masuk
1012,sumbangin,sumbangkan
1013,sumpek,sempit
1014,sy,saya
1015,syg,sayang
1016,syp,siapa
1017,t4,tempat
1018,tabanas,tabungan pembangunan nasional
1019,tajir,kaya
1020,tar,nanti
1021,tau,tahu
